,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity,csvfile
269,LOG,2018-01-26T22:15:33.442Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,OB continued at 2018-01-26T22:15:33,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
270,LOG,2018-01-26T22:18:30.576Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,OB paused at 2018-01-26T22:18:30,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
271,LOG,2018-01-28T21:58:12.316Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB continued at 2018-01-28T21:58:12,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
272,LOG,2018-01-28T21:59:29.186Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB finished (TERMINATED) in 10270 seconds at 2018-01-28T21:59:29,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
273,LOG,2018-01-26T23:42:16.192Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,OB finished (TERMINATED) in 13002 seconds at 2018-01-26T23:42:16,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
274,LOG,2018-02-06T00:47:50.115Z,GRAVITY,wgv,wgv,wgv,bob_12042,91,seq,,,,OB started at 2018-02-06T00:47:50,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
275,LOG,2018-02-06T00:47:50.116Z,GRAVITY,wgv,wgv,wgv,bob_12042,91,seq,,,,(OBS.NAME: CAL_HD38117 // OBS.ID: 1400141),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
276,LOG,2018-02-06T00:49:07.676Z,GRAVITY,wgv,wgv,wgv,bob_12042,91,seq,,,,(OBS.NAME: CAL_HD38117 // OBS.ID: 1400141),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
277,LOG,2018-02-06T00:49:30.682Z,GRAVITY,wgv,wgv,wgv,bob_12042,91,seq,,,,OB aborted after 12 seconds at 2018-02-06T00:49:19,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
278,LOG,2018-02-05T15:27:51.900Z,GRAVITY,wgv,wgv,wgv,bob_17617,85,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
